,city,lat,lng
175,Mazowe,-17.5196,30.97
176,Zvishavane,-20.3296,30.05
177,Shamva,-17.3196,31.57
178,Harare,-17.8178,31.0447
179,Kwekwe,-18.9296,29.8
180,Kadoma,-18.33,29.9099
181,Gwanda,-20.9396,29.01
182,Chinhoyi,-17.3596,30.18
183,Beitbridge,-22.2096,29.99
184,Mutare,-18.97,32.65
185,Gweru,-19.45,29.82
186,Karoi,-16.8196,29.68
187,Masvingo,-20.0596,30.82
188,Bulawayo,-20.17,28.58
189,Victoria Falls,-17.9296,25.84
190,Chitungwiza,-18.0,31.1
191,Maqat,47.6482,53.3265
192,Zhangaozen,43.3004,52.8
193,Taraz,42.9,71.365
194,Shymkent,42.32,69.595
195,Oral,51.2711,51.335
196,Balqash,46.8532,74.9502
197,Zaysan,47.4752,84.8598
198,Oytal,42.9153,73.2549
199,Zholymbet,51.7502,71.7099
200,Serebryansk,49.6999,83.4249
201,Chapaev,50.1915,51.1449
202,Ridder,50.3554,83.5149
203,Zhaltyr,51.6324,69.8328
204,Atbasar,51.8219,68.3477
205,Aqsay,51.1714,53.0349
206,Shemonaikha,50.6316,81.905
207,Atasu,48.6903,71.6499
208,Rudny,52.9527,63.13
209,Makhambet,47.6714,51.5798
210,Fort Shevchenko,44.5171,50.2666
211,Qusmuryn,52.458,64.6
212,Oktyabrsk,49.4731,57.4449
213,Khromtau,50.2699,58.45
214,Algha,49.9032,57.335
215,Embi,48.8268,58.1442
216,Ushtobe,45.2653,77.97
217,Burylbaytal,44.9387,74.0303
218,Zhanibek,49.4276,46.8772
219,Esil,51.957,66.3775
220,Derzhavinsk,51.1021,66.3075
221,Saryshaghan,46.1195,73.6191
222,Turgay,49.626,63.499
223,Sarqan,45.4203,79.9149
224,Arqalyq,50.2418,66.8976
225,Shalqar,47.8363,59.6141
226,Shieli,44.167,66.75
227,Bayghanin,48.6917,55.874
228,Zhezqazghan,47.78,67.77
229,Mangyshlak,43.6905,51.1417
230,Zhosaly,45.4877,64.078
231,Beyneu,45.1834,55.1
232,Qazaly,45.7628,62.1075
233,Aral,46.8,61.6666
234,Ayakoz,47.9647,80.4297
235,Urzhar,47.1002,81.6048
236,Qapshaghay,43.8844,77.0687
237,Esik,43.3691,77.4438
238,Turkistan,43.3016,68.2549
239,Qaratau,43.1854,70.46
240,Sharbaqty,52.4999,78.1499
241,Oostanay,53.2209,63.6283
242,Kachiry,53.0804,76.09
243,Kishkenekol,53.6368,72.3414
244,Bulaevo,54.9053,70.44
245,Shonzhy,43.5421,79.4703
246,Qyzylorda,44.8,65.465
247,Qaraghandy,49.885,73.115
248,Ertis,53.3453,75.4499
249,Tayynsha,53.8481,69.7638
250,Qulan,42.9204,72.705
251,Shu,43.5953,73.7448
252,Kentau,43.5165,68.5199
253,Oskemen,49.99,82.6149
254,Aqtau,43.6232,51.2365
255,Taldyqorghan,45.0,78.4
256,Astana,51.1811,71.4278
257,Aqtobe,50.28,57.17
258,Kokshetau,53.3,69.42
259,Petropavlovsk,54.88,69.22
260,Pavlodar,52.3,76.95
261,Otar,43.5346,75.2139
262,Almaty,43.325,76.915
263,Bestobe,52.4997,73.0997
264,Arys,42.4369,68.8048
265,Lenger,42.1899,69.8799
266,Aqsu,52.4502,71.9597
267,Temirtau,50.065,72.965
268,Makinsk,52.6404,70.41
269,Osakarovka,50.5799,72.5699
270,Qarqaraly,49.4249,75.4649
271,Ekibastuz,51.73,75.3199
272,Zyryanovsk,49.7453,84.2548
273,Komsomolets,53.7506,62.0502
274,Baykonur,45.6914,63.2413
275,Erymentau,51.6303,73.1049
276,Qarazhal,48.0253,70.7999
277,Tobol,52.698,62.5749
278,Shar,49.6003,81.0549
279,Semey,50.435,80.275
280,Boralday,43.3341,76.8288
281,Zhetiqara,52.193,61.2399
282,Aqadyr,48.2749,72.8599
283,Zharkent,44.1616,79.9801
284,Qulsary,46.9833,54.0165
285,Balyqshy,47.0666,51.8666
286,Atyrau,47.1127,51.92
287,Xiangkhoang,19.3337,103.3666
288,Muang Phônsavan,19.45,103.2167
289,Vientiane,17.9667,102.6
290,Ban Houayxay,20.2775,100.4128
291,Muang Phôn-Hông,18.4957,102.4142
292,Louang Namtha,20.95,101.4167
293,Phongsali,21.6833,102.1
294,Thakhek,17.4112,104.8361
295,Muang Pakxan,18.3826,103.6586
296,Louangphrabang,19.8845,102.1416
297,Xaignabouri,19.2505,101.7501
298,Savannakhet,16.5376,104.773
299,Lamam,15.4171,106.6946
300,Pakxe,15.1221,105.8183
301,Attapu,14.808,106.839
302,Xam Nua,20.4167,104.0333
303,Muang Xai,20.6923,101.9847
304,Saravan,15.716,106.427
305,Champasak,14.8833,105.8667
306,Beirut,33.872,35.5097
307,Zahlé,33.8501,35.9042
308,Baalbek,34.0058,36.2181
309,B'abda,33.8333,35.5333
310,Halba,34.5428,36.0797
311,Saida,33.563,35.3688
312,Nabatiye et Tahta,33.3833,35.45
313,Trablous,34.42,35.87
314,Castries,14.002,-61.0
315,Gamprin,47.2197,9.5113
316,Triesenberg,47.1182,9.5444
317,Schaan,47.1661,9.5096
318,Ruggell,47.2408,9.5247
319,Mauren,47.2205,9.5426
320,Eschen,47.2109,9.5216
321,Triesen,47.1101,9.524
322,Balzers,47.0667,9.5025
323,Vaduz,47.1337,9.5167
324,Planken,47.1844,9.5436
325,Schellenberg,47.2325,9.5463
326,Colombo,6.932,79.8578
327,Ratnapura,6.693,80.386
328,Matara,5.949,80.5428
329,Sri Jawewardenepura Kotte,6.9,79.95
330,Moratuwa,6.7804,79.88
331,Anuradhapura,8.35,80.3833
332,Galle,6.03,80.24
333,Puttalan,8.033,79.826
334,Kandy,7.28,80.67
335,Badulla,6.9837,81.0499
336,Trincomalee,8.569,81.233
337,Kilinochchi,9.4004,80.3999
338,Batticaloa,7.717,81.7
339,Jaffna,9.675,80.005
340,Bopolu,7.0667,-10.4875
341,Voinjama,8.4167,-9.75
342,Robertsport,6.7533,-11.3686
343,Buchanan,5.9161,-10.0525
344,Monrovia,6.3106,-10.8048
345,Tubmanburg,6.8706,-10.8211
346,Buchanan,5.8811,-10.0447
347,Zwedru,6.0704,-8.13
348,Barclayville,4.8,-8.1667
349,Rivercess,5.465,-9.578
350,Fish Town,5.1974,-7.8758
351,Gbarnga,7.0104,-9.49
352,Kakata,6.526,-10.349
353,Sanniquellie,7.371,-8.685
354,Greenville,5.0111,-9.0388
355,Bensonville,6.4333,-10.6
356,Harper,4.3754,-7.717
357,Maseru,-29.3167,27.4833
358,Mokhotlong,-29.291,29.078
359,Thaba-Tseka,-29.522,28.6084
360,Moyeni,-30.411,27.716
361,Qacha’s Nek,-30.1154,28.6894
362,Mafetang,-29.8166,27.25
363,Hlotse,-28.878,28.056
364,Teyateyaneng,-29.153,27.753
365,Mohales Hoek,-30.159,27.48
366,Butha-Buthe,-28.75,28.25
367,Klaipėda,55.7204,21.1199
368,Palanga,55.9203,21.071
369,Nida,55.3086,20.9965
370,Kretinga,55.8888,21.2445
371,Tauragė,55.2522,22.2897
